"domain","events","lots_covered","lot_coverage_share","raw_draws","unique_draws","mean_raw_draws_per_event","mean_unique_lots_per_event"
"commercial_space",5435,1600,1,264207,260213,48.6121435142594,47.8772769089236
"goods",4018139,1600,1,38275030,37989439,9.5255614601685,9.45448601952297
"housing",314730,1600,1,3742495,3713642,11.8911289041401,11.7994534998252
"job",320455,1600,1,3772219,3744044,11.7714468490116,11.6835249879078
