"tick","active_firms","total_revenue","mean_revenue","median_revenue","sd_revenue","cv_revenue","zero_revenue_share","sold_out_share","total_unsold_output","total_profit","loss_firm_share","revenue_gini"
1,150,8183.15157496723,54.5543438331149,55.238202773962,14.2502201320663,0.261211466050415,0,0.153333333333333,924,-18095.5762718554,1,0.145855934444201
2,150,7805.50264476215,52.0366842984143,52.8781806033561,15.5769209893255,0.299344994773238,0,0.16,905,-17285.2489884269,0.98,0.16772702043511
3,150,7522.52097582006,50.1501398388004,51.013333142955,15.6554736735202,0.312172084142582,0,0.173333333333333,939,-17409.3539018912,0.98,0.176289282994491
4,150,7424.91472919845,49.4994315279897,50.3147632882091,14.5926373095222,0.294804139341898,0,0.153333333333333,885,-16634.2571945893,0.953333333333333,0.166654619656427
5,150,6960.86010662898,46.4057340441932,46.2903099346936,14.5230896720733,0.312958947233603,0,0.14,919,-16370.6257732731,0.946666666666667,0.178392155323897
6,150,6963.07457321759,46.4204971547839,45.7199575604424,16.266433622485,0.350414894701502,0,0.166666666666667,889,-15969.0023750566,0.946666666666667,0.195007064035252
7,150,6838.78995522349,45.5919330348233,44.5554617820987,14.1123681691142,0.309536517311849,0,0.186666666666667,876,-15481.3347004111,0.933333333333333,0.1725748851578
8,150,6733.33632875911,44.8889088583941,44.2995097488766,14.0282829225138,0.312511114198994,0,0.18,838,-14687.7785655658,0.953333333333333,0.173221055589641
9,150,6316.37672390523,42.1091781593682,41.4294728543995,15.8782652670035,0.377073739290516,0,0.166666666666667,895,-14532.2132973631,0.953333333333333,0.212229483536908
10,150,6277.64517120738,41.8509678080492,41.861265724294,15.7127289699573,0.37544481747768,0,0.106666666666667,902,-14540.0010911906,0.973333333333333,0.208319607622914
11,150,6551.75157863757,43.6783438575838,44.1368439854005,13.9805304294541,0.320079224501701,0,0.18,809,-14068.5625441748,0.953333333333333,0.180666004534171
12,150,6168.20318624737,41.1213545749824,39.3740717202092,14.3738599286863,0.349547335617955,0,0.153333333333333,839,-13870.1340573606,0.96,0.193538018277245
13,150,6534.62357182235,43.5641571454823,42.090069500869,15.5344121292534,0.356587000578855,0,0.153333333333333,803,-14373.1629574415,0.973333333333333,0.194554156925556
14,150,6869.16811338621,45.7944540892414,46.4547345219111,16.0106149540284,0.349619081009852,0,0.24,746,-14545.3605118168,0.94,0.194088095714456
15,150,6830.89543451973,45.5393028967982,46.1039149716697,16.2564387905293,0.356976013167568,0,0.2,755,-14671.8178900581,0.96,0.19886379404886
16,150,6566.37549858318,43.7758366572212,42.6760604440709,14.0102015889933,0.320044176395705,0,0.186666666666667,786,-14734.6927157157,0.966666666666667,0.179367094782934
17,150,6812.9222945353,45.4194819635686,45.600186487284,15.8207226404708,0.348324594568488,0,0.193333333333333,779,-15162.2434812239,0.986666666666667,0.192415610743736
18,150,6834.48462089268,45.5632308059512,44.6097413446727,15.2263440986484,0.334180518574193,0,0.18,754,-15076.678571578,0.966666666666667,0.180477287495428
19,150,7135.22919597916,47.5681946398611,46.9100087607275,15.6396628159613,0.328784031733161,0,0.166666666666667,715,-15365.5011863717,0.98,0.162787437729901
20,150,7185.12561557197,47.9008374371464,47.7510748069753,18.0202104353192,0.376198233673151,0,0.24,694,-15324.4985910406,0.953333333333333,0.191859433215643
21,150,7107.60456638777,47.3840304425852,46.2983771288341,18.781995755917,0.396378180169266,0,0.213333333333333,732,-15811.923284921,0.98,0.19277980695045
22,150,7255.25908031942,48.3683938687961,46.0381765526796,18.9344365842906,0.391463000314877,0,0.233333333333333,679,-15447.8272427799,0.96,0.181660934983359
23,150,7303.22002578524,48.6881335052349,46.3350979558707,22.6484767955159,0.465174471990814,0,0.273333333333333,669,-15462.1889932622,0.966666666666667,0.198100698980976
24,150,7721.46777638467,51.4764518425644,48.3863144040363,26.3009261891159,0.510931217045701,0,0.293333333333333,610,-15719.4157246306,0.973333333333333,0.199729982099346
25,150,7774.8721570512,51.832481047008,51.0731461522816,28.4366982016227,0.548626992712019,0,0.273333333333333,598,-15717.4097327207,0.986666666666667,0.189891427858817
26,150,7781.48585671708,51.8765723781139,48.8901130506939,28.5729452804555,0.550787069588856,0,0.266666666666667,597,-15817.1823853852,0.98,0.19117147594623
27,150,7679.31988342377,51.1954658894918,49.5305740085238,29.1620406649639,0.569621550625436,0,0.313333333333333,614,-16048.5365498695,0.98,0.203192239054772
28,150,7606.8887338544,50.7125915590293,47.0261939646753,29.3345415834799,0.578446904046198,0,0.26,607,-15678.6744431319,0.986666666666667,0.204348136269409
29,151,7459.57601657397,49.4011656726753,46.079130919977,25.1154164853406,0.508397244140989,0.00662251655629139,0.28476821192053,600,-15401.0461267022,0.993377483443709,0.199389455704655
30,151,7534.29923904128,49.8960214506045,47.7427536691597,28.5196795467153,0.5715822367711,0,0.298013245033113,625,-16029.9728619712,0.986754966887417,0.19985545231205
