productivity,io_density,entry_rate,found_prob,seed,firms_500,emp_rate_500,com_vac_500,com_rent_500,pop_500,firms_1000,emp_rate_1000,com_vac_1000,com_rent_1000,pop_1000,feasible
4.0,0.2,1.0,0.005,12,88,0.4026278742374472,0.6732860520094562,2.358824164632809,2131,48,0.4053333333333333,0.72900466562986,1.508813760313292,1125,false
5.5,0.2,1.0,0.005,12,85,0.4008036162732295,0.6816443594646272,2.29265116316974,1991,35,0.39232209737827717,0.721958925750395,1.3608862865336717,1068,false
7.0,0.2,1.0,0.005,12,62,0.3762769580022701,0.7311178247734139,2.221697688339644,1762,39,0.3873552983081033,0.7214461791290058,1.6083416246941187,1123,false
9.0,0.2,1.0,0.005,12,74,0.38650963597430404,0.7432638535841383,2.1389268670669503,1868,42,0.42262443438914027,0.7284518828451882,1.4114631401178082,1105,false
4.0,0.4,1.0,0.005,12,88,0.4026278742374472,0.6732860520094562,2.358824164632809,2131,48,0.4053333333333333,0.72900466562986,1.508813760313292,1125,false
5.5,0.4,1.0,0.005,12,85,0.4008036162732295,0.6816443594646272,2.29265116316974,1991,35,0.39232209737827717,0.721958925750395,1.3608862865336717,1068,false
7.0,0.4,1.0,0.005,12,62,0.3762769580022701,0.7311178247734139,2.221697688339644,1762,39,0.3873552983081033,0.7214461791290058,1.6083416246941187,1123,false
9.0,0.4,1.0,0.005,12,74,0.38650963597430404,0.7432638535841383,2.1389268670669503,1868,42,0.42262443438914027,0.7284518828451882,1.4114631401178082,1105,false
4.0,0.6,1.0,0.005,12,80,0.22887323943661972,0.7901719901719901,1.8086797485675934,1704,46,0.2716417910447761,0.8305084745762712,1.3756888544448147,1005,false
5.5,0.6,1.0,0.005,12,63,0.3247143716175586,0.7864424057084608,1.9949287624208034,1663,58,0.3383800151400454,0.7933304080737166,1.4870806686121927,1321,true
7.0,0.6,1.0,0.005,12,67,0.2996389891696751,0.8076109936575053,2.1382500791413026,1939,59,0.320265780730897,0.7958725886047555,1.7153126491543969,1505,true
9.0,0.6,1.0,0.005,12,76,0.34404145077720205,0.8007438894792773,2.15993874796944,1930,51,0.3125448028673835,0.8168685927306617,1.8497922691930393,1395,true
4.0,0.8,1.0,0.005,12,99,0.2855603448275862,0.7590480912245909,2.152881119680679,1856,47,0.2657952069716776,0.8409490333919156,1.431669515236166,918,false
5.5,0.8,1.0,0.005,12,62,0.25238898257448006,0.8170984455958549,1.934273712637603,1779,46,0.3093645484949833,0.8314298766560073,1.775940856265063,1196,false
7.0,0.8,1.0,0.005,12,71,0.32624544349939244,0.8189701897018971,2.082619728360126,1646,52,0.32860520094562645,0.8323185011709602,1.6469321405232704,1269,true
9.0,0.8,1.0,0.005,12,62,0.31512605042016806,0.836491608012994,2.195415346572527,1666,40,0.27531380753138074,0.8506894912030433,1.6207969005536886,1195,false
4.0,0.2,2.0,0.005,12,107,0.39707046714172606,0.6308193668528864,2.423706473937278,2526,52,0.4130006565988181,0.656158357771261,1.610568640883151,1523,true
5.5,0.2,2.0,0.005,12,88,0.3895274584929757,0.6437529029261495,2.5608842602270943,2349,59,0.4152892561983471,0.6549165120593692,1.6547511501638592,1452,true
7.0,0.2,2.0,0.005,12,78,0.37061929908785407,0.7098976109215017,2.412263840933901,2083,42,0.3927272727272727,0.69826224328594,1.4603424239213505,1375,false
9.0,0.2,2.0,0.005,12,67,0.31937984496124033,0.727318803852002,2.543636746837753,1935,42,0.37170263788968827,0.6990531082750103,1.5096933725297448,1251,false
4.0,0.4,2.0,0.005,12,107,0.39707046714172606,0.6308193668528864,2.423706473937278,2526,52,0.4130006565988181,0.656158357771261,1.610568640883151,1523,true
5.5,0.4,2.0,0.005,12,88,0.3895274584929757,0.6437529029261495,2.5608842602270943,2349,59,0.4152892561983471,0.6549165120593692,1.6547511501638592,1452,true
7.0,0.4,2.0,0.005,12,78,0.37061929908785407,0.7098976109215017,2.412263840933901,2083,42,0.3927272727272727,0.69826224328594,1.4603424239213505,1375,false
9.0,0.4,2.0,0.005,12,67,0.31937984496124033,0.727318803852002,2.543636746837753,1935,42,0.37170263788968827,0.6990531082750103,1.5096933725297448,1251,false
4.0,0.6,2.0,0.005,12,134,0.2872950819672131,0.6995348837209302,2.065967685157008,2440,73,0.30598052851182195,0.7668414683340057,1.5144602924694885,1438,true
5.5,0.6,2.0,0.005,12,99,0.33729216152019004,0.7457200402819738,2.172566055504866,2105,59,0.2790834312573443,0.7720273738237811,1.8238844867304145,1702,true
7.0,0.6,2.0,0.005,12,85,0.29990262901655307,0.7680412371134021,2.0652106095069964,2054,59,0.2533470648815654,0.7760617760617761,1.7387543224261282,1942,true
9.0,0.6,2.0,0.005,12,78,0.3204010462074978,0.7817312798725438,2.17018205206136,2294,84,0.2849846782431052,0.7825497287522604,1.787219821457698,1958,true
4.0,0.8,2.0,0.005,12,100,0.26376146788990823,0.7404878048780488,1.9190388804823104,2180,72,0.2910089224433768,0.7794117647058824,1.6089500768446146,1457,true
5.5,0.8,2.0,0.005,12,105,0.26835902085222124,0.7565953210552514,2.1002879630405418,2206,64,0.2630937880633374,0.7960869565217391,1.7197951473085948,1642,true
7.0,0.8,2.0,0.005,12,90,0.2944896115627823,0.7892234548335975,2.208097515042271,2214,72,0.2603792926704254,0.7767896843041352,1.8970222823423586,1951,true
9.0,0.8,2.0,0.005,12,79,0.31060228969636633,0.8045977011494253,2.3729691531621846,2009,62,0.2725212464589235,0.8076031525266574,1.818806008342304,1765,true
4.0,0.2,4.0,0.005,12,101,0.36019736842105265,0.5556028973157222,2.865152129118453,3040,63,0.3863291139240506,0.5963121501481725,1.8009879160269344,1975,true
5.5,0.2,4.0,0.005,12,112,0.384898095556298,0.553182214472537,2.9159954924635976,2993,63,0.3969620253164557,0.5887942332896461,1.7649687911154448,1975,true
7.0,0.2,4.0,0.005,12,87,0.3436995153473344,0.6384471468662302,2.876571037077363,2476,65,0.35041782729805016,0.6294675419401896,1.8243487178707778,1795,true
9.0,0.2,4.0,0.005,12,92,0.3349244232299125,0.6637554585152838,2.7012827532835217,2514,58,0.36225352112676057,0.6451612903225806,1.6918589050898871,1775,true
4.0,0.4,4.0,0.005,12,101,0.36019736842105265,0.5556028973157222,2.865152129118453,3040,63,0.3863291139240506,0.5963121501481725,1.8009879160269344,1975,true
5.5,0.4,4.0,0.005,12,112,0.384898095556298,0.553182214472537,2.9159954924635976,2993,63,0.3969620253164557,0.5887942332896461,1.7649687911154448,1975,true
7.0,0.4,4.0,0.005,12,87,0.3436995153473344,0.6384471468662302,2.876571037077363,2476,65,0.35041782729805016,0.6294675419401896,1.8243487178707778,1795,true
9.0,0.4,4.0,0.005,12,92,0.3349244232299125,0.6637554585152838,2.7012827532835217,2514,58,0.36225352112676057,0.6451612903225806,1.6918589050898871,1775,true
4.0,0.6,4.0,0.005,12,146,0.2844884488448845,0.6365272154745839,2.4227799614820427,3030,91,0.2265625,0.7345301757066462,1.5528199976102155,2048,true
5.5,0.6,4.0,0.005,12,143,0.31216765717860495,0.6494603472548099,2.5156565701101186,3197,103,0.23010442924018726,0.6940726577437859,1.9135301761574641,2777,true
7.0,0.6,4.0,0.005,12,112,0.29341099381143065,0.7141424272818455,2.5404039798108307,2747,104,0.2865919768702566,0.6977687626774848,2.1475798201780325,2767,true
9.0,0.6,4.0,0.005,12,107,0.2831973898858075,0.711855927963982,2.8186716336405393,3065,89,0.27063740856844304,0.713874022231371,2.304798098027456,2871,true
4.0,0.8,4.0,0.005,12,164,0.27437056165267915,0.6333789329685362,2.4310342325316032,3098,122,0.24161849710982658,0.6875,1.7762987827132661,2595,true
5.5,0.8,4.0,0.005,12,128,0.27550691985838427,0.6926070038910506,2.5127320058588505,3107,129,0.26129032258064516,0.6690085870413739,1.9998700805506602,2790,true
7.0,0.8,4.0,0.005,12,104,0.2777392510402219,0.7199191102123357,2.5808892683384865,2884,89,0.2541879096868172,0.7079682937004589,1.9715069018348925,2746,true
9.0,0.8,4.0,0.005,12,92,0.2578434908041832,0.759298618490967,2.7960583026206804,2773,102,0.26342624065261727,0.7148471615720524,2.41879858341696,2942,true
4.0,0.2,1.0,0.01,12,108,0.3881957773512476,0.6700620017714792,2.218343074324187,2084,54,0.39892665474060823,0.7068638604474782,1.5663268431930597,1118,true
5.5,0.2,1.0,0.01,12,107,0.39352720450281425,0.672077922077922,2.4516773537007577,2132,55,0.40483870967741936,0.6837899543378996,1.5988531462473805,1240,true
7.0,0.2,1.0,0.01,12,98,0.3613613613613614,0.7048627828598941,2.3567406426074116,1998,57,0.3840186190845617,0.6988188976377953,1.6077896008344024,1289,true
9.0,0.2,1.0,0.01,12,100,0.3587677725118483,0.7023121387283237,2.331045460447641,2110,63,0.42868217054263563,0.6970889063729347,1.4857971720236793,1290,true
