productivity,initial_hire,solo_found_prob,goods_tc,bid_share,grid_min_res_occ,sold_out_premium,pop_growth,mean_emp,grid_expanded,firm_growth,score
4.8072,3,0.007581,0.04311,0.0943,0.5138,0.9396,0.927,0.683,false,true,3.06
7.1053,3,0.007378,0.03948,0.1239,0.5362,0.6491,0.586,0.671,false,true,2.781
4.0023,5,0.004312,0.02054,0.0962,0.5128,0.669,1.199,0.626,false,true,3.152
4.8166,3,0.005458,0.0284,0.1411,0.6793,0.259,0.926,0.628,false,true,2.951
5.5993,6,0.006744,0.02099,0.0649,0.7029,0.7552,1.556,0.608,false,false,2.383
3.2604,7,0.023062,0.09143,0.0737,0.7338,0.4729,1.301,0.563,false,true,3.102
7.8403,6,0.012769,0.04385,0.0994,0.6192,0.3191,0.616,0.636,false,false,1.733
3.216,4,0.009279,0.05755,0.1241,0.5409,0.4098,1.366,0.622,false,false,2.267
3.4506,5,0.009961,0.04572,0.1352,0.8893,0.5741,0.998,0.611,false,false,1.969
4.2035,3,0.011942,0.16417,0.1109,0.7937,0.7381,0.837,0.63,false,true,2.887
4.7694,4,0.012019,0.17454,0.0952,0.5935,0.5854,0.591,0.643,false,false,1.729
3.7466,8,0.008013,0.15067,0.088,0.5079,0.3676,1.491,0.642,false,true,3.402
4.8479,7,0.014096,0.17532,0.1575,0.8691,0.9115,1.104,0.609,false,false,2.046
7.9738,3,0.007072,0.02469,0.0523,0.5359,0.9986,1.156,0.673,false,true,3.213
5.6648,6,0.010182,0.1159,0.0935,0.7639,0.7579,1.415,0.607,false,true,3.275
7.6805,3,0.005536,0.08915,0.0771,0.573,0.9001,1.281,0.724,false,true,3.409
7.117,5,0.004772,0.02949,0.0977,0.6078,0.2829,1.101,0.617,false,false,2.059
3.8903,6,0.01787,0.08822,0.1412,0.679,0.5632,1.097,0.703,false,true,3.229
4.3341,6,0.023144,0.03125,0.1935,0.6203,0.8585,1.227,0.685,false,false,2.29
4.4322,7,0.007133,0.04703,0.1467,0.5256,0.5177,1.433,0.605,false,true,3.285
6.3465,8,0.012369,0.06259,0.1883,0.8945,0.4846,1.036,0.642,false,true,3.061
6.2337,3,0.006455,0.17464,0.0747,0.63,0.7517,0.435,0.692,false,false,1.71
6.6145,6,0.011768,0.02808,0.1999,0.7498,0.8462,1.115,0.588,false,true,3.012
6.8639,7,0.006009,0.02294,0.1291,0.87,0.6938,1.707,0.63,false,true,3.54
3.904,8,0.012651,0.02574,0.1511,0.7903,0.3018,1.276,0.673,false,false,2.304
5.9892,5,0.013136,0.07546,0.0731,0.5514,0.5814,1.406,0.666,false,true,3.386
4.9694,7,0.029148,0.0508,0.1042,0.5609,0.2175,2.714,0.582,false,true,4.199
5.5652,6,0.003732,0.18511,0.1245,0.5012,0.7491,1.101,0.645,false,true,3.117
7.0838,4,0.025408,0.08588,0.0734,0.6764,0.7555,1.237,0.579,false,true,3.086
3.7677,4,0.010512,0.1839,0.0829,0.8783,0.4573,3.415,0.71,false,true,4.98
4.11,4,0.005027,0.03149,0.0919,0.5116,0.2861,1.009,0.714,false,false,2.185
4.306,7,0.027785,0.02315,0.0513,0.5692,0.7231,2.223,0.681,false,true,4.028
7.2437,8,0.019354,0.04769,0.098,0.6191,0.8461,1.623,0.596,false,true,3.409
5.9262,4,0.005078,0.04086,0.1718,0.609,0.6822,1.214,0.627,false,true,3.165
5.7223,7,0.013752,0.06715,0.1697,0.6985,0.2057,1.223,0.67,false,false,2.258
3.4739,6,0.008584,0.05346,0.1089,0.7196,0.2947,1.101,0.683,false,false,2.191
3.7483,6,0.004699,0.0678,0.1959,0.5113,0.7389,1.316,0.605,false,false,2.197
7.8264,8,0.006937,0.04821,0.1692,0.7608,0.6136,0.686,0.649,false,false,1.813
4.3934,7,0.004042,0.03734,0.1427,0.8639,0.3825,0.968,0.627,false,false,1.98
3.0288,6,0.010839,0.16783,0.1728,0.695,0.996,1.019,0.539,false,false,1.843
4.3468,8,0.013683,0.16238,0.0992,0.8581,0.4763,1.678,0.717,false,true,3.693
3.7703,4,0.006515,0.17879,0.1052,0.5205,0.669,1.41,0.628,false,false,2.313
5.4569,7,0.004439,0.05381,0.1656,0.5727,0.9635,0.785,0.607,false,true,2.804
3.0769,6,0.003837,0.04385,0.0985,0.8865,0.3598,1.109,0.488,false,true,2.808
6.2023,7,0.003078,0.04972,0.0651,0.7667,0.5687,1.844,0.687,false,false,2.757
7.2726,4,0.023315,0.11975,0.1822,0.6077,0.6581,0.614,0.634,false,false,1.73
4.3055,7,0.014964,0.10356,0.1619,0.5683,0.7756,0.972,0.656,false,false,2.041
5.9605,8,0.004272,0.0386,0.1677,0.5294,0.6427,2.378,0.633,false,true,4.05
3.9599,7,0.003114,0.07186,0.1648,0.6532,0.688,1.088,0.569,false,false,1.954
5.8413,8,0.024022,0.09938,0.1291,0.7868,0.6241,1.116,0.591,false,true,3.02
5.2768,4,0.026265,0.12899,0.1493,0.8056,0.5116,0.96,0.653,false,true,3.027
4.3418,8,0.008749,0.03088,0.0653,0.8236,0.9012,1.042,0.544,false,false,1.869
5.4314,4,0.00345,0.06882,0.1574,0.5098,0.9254,0.64,0.702,false,true,2.885
6.7566,7,0.004489,0.04216,0.0818,0.795,0.9305,1.495,0.644,false,true,3.409
3.9714,7,0.009938,0.08774,0.1764,0.7693,0.8431,1.373,0.592,false,false,2.214
5.9189,7,0.01209,0.05839,0.0556,0.6918,0.8723,1.737,0.648,false,true,3.6
3.6787,3,0.008466,0.02305,0.1786,0.7259,0.6983,1.133,0.629,false,true,3.107
6.3172,6,0.013714,0.10054,0.0511,0.7081,0.3821,1.119,0.696,false,true,3.231
5.0832,5,0.003768,0.06489,0.1599,0.7546,0.5053,0.96,0.689,false,false,2.099
4.057,7,0.003916,0.11762,0.1767,0.5333,0.7899,1.029,0.61,false,true,2.991
5.9663,8,0.006346,0.0781,0.1806,0.8916,0.9362,0.989,0.646,false,true,3.035
5.0245,8,0.005232,0.03344,0.1547,0.869,0.9192,0.998,0.66,false,false,2.067
4.1488,6,0.019533,0.07068,0.1019,0.5454,0.3031,1.595,0.706,false,true,3.607
3.8216,3,0.003634,0.02643,0.1553,0.6023,0.3916,1.185,0.686,false,false,2.262
3.8841,6,0.009905,0.1071,0.0998,0.5254,0.3185,1.269,0.593,false,false,2.138
4.1157,7,0.005434,0.04454,0.0613,0.6838,0.3283,2.355,0.616,false,true,3.999
3.8484,3,0.006169,0.0721,0.0587,0.7008,0.4495,0.994,0.645,false,true,3.036
3.4723,6,0.003014,0.10368,0.1513,0.7149,0.6257,1.201,0.554,false,false,2.009
4.2883,3,0.006868,0.04764,0.082,0.6167,0.2908,0.746,0.643,false,false,1.845
6.1959,4,0.008923,0.03581,0.0732,0.8945,0.6001,0.824,0.67,false,true,2.959
7.9115,3,0.006884,0.02446,0.1568,0.8906,0.9254,0.487,0.677,false,false,1.719
6.4022,6,0.015745,0.12362,0.0977,0.545,0.7658,1.881,0.631,false,true,3.673
7.1715,8,0.010127,0.1741,0.1761,0.8426,0.3621,1.401,0.663,false,true,3.375
3.9441,4,0.006178,0.08767,0.1884,0.5806,0.3774,1.099,0.596,false,false,2.016
6.6817,6,0.017368,0.07815,0.1531,0.7438,0.2902,0.956,0.568,false,true,2.852
6.6419,6,0.009178,0.02415,0.1732,0.8867,0.9135,1.496,0.636,false,true,3.394
6.4552,7,0.018004,0.02819,0.0967,0.5809,0.7154,2.088,0.611,false,true,3.789
3.8728,4,0.006247,0.05674,0.0547,0.6159,0.666,1.442,0.665,false,true,3.411
4.2478,5,0.008867,0.03726,0.0697,0.7392,0.9838,1.024,0.671,false,false,2.111
4.8331,7,0.029127,0.10195,0.053,0.5771,0.6461,1.489,0.637,false,true,3.39
