"distance_bin","residential_rent","commercial_rent","occupied_residential","occupied_commercial","residential_vacancy_rate","commercial_vacancy_rate","n_lots"
0,15.7746147059638,44.9817331186623,11.45,10.9,0.129580762804447,0.0153382034632035,40
5,13.5429020130608,37.5171516137379,7.97857142857143,10.2214285714286,0.355330457633918,0.0511059406279995,140
10,8.6599155358486,27.8591176494556,6.29999999999999,7.02083333333333,0.50697292593529,0.284377979047097,240
15,4.24644269352734,19.9235641663654,4.01764705882354,5.5470588235294,0.637234835269346,0.44080932955933,340
20,2.91943348622782,12.2189135373488,2.28690807799442,3.4791086350975,0.788783629563833,0.604214581047697,360
25,1.29114351314697,10.1521444455801,1.37307692307692,2.55384615384615,0.8777215142826,0.725656981906981,260
30,1,4.61417953445984,0.1,1.9,0.977596726190476,0.77712788947164,160
35,1,1,0.0333333333333333,0.316666666666667,0.986111111111111,0.899722222222222,60
