domain,events,lots_covered,lot_coverage_share,raw_draws,unique_draws,mean_raw_draws_per_event,mean_unique_lots_per_event
commercial_space,11,137,0.9513888888888888,528,463,48.0,42.09090909090909
goods,5724,144,1.0,54241,52282,9.47606568832984,9.13382250174703
housing,814,144,1.0,9724,9309,11.945945945945946,11.436117936117936
job,1065,144,1.0,12003,11542,11.270422535211267,10.837558685446009
