tick,firm_type,n_firms,uniq_prices,uniq_prices_r2,min_price_gap,tie_share_r2,mean_sellthrough
67.0,5.0,1,1,1,0.0,0.0,0.9230769230769231
67.0,6.0,1,1,1,0.0,0.0,0.6739130434782609
68.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
68.0,2.0,1,1,1,0.0,0.0,0.71875
68.0,3.0,1,1,1,0.0,0.0,0.0
68.0,4.0,1,1,1,0.0,0.0,0.8125
68.0,5.0,1,1,1,0.0,0.0,0.9743589743589743
68.0,6.0,1,1,1,0.0,0.0,0.8478260869565217
69.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
69.0,2.0,1,1,1,0.0,0.0,0.8125
69.0,3.0,1,1,1,0.0,0.0,0.0
69.0,4.0,1,1,1,0.0,0.0,0.6666666666666666
69.0,5.0,1,1,1,0.0,0.0,1.0
69.0,6.0,1,1,1,0.0,0.0,0.8260869565217391
70.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
70.0,2.0,1,1,1,0.0,0.0,0.8125
70.0,3.0,1,1,1,0.0,0.0,0.0
70.0,4.0,1,1,1,0.0,0.0,0.6666666666666666
70.0,5.0,1,1,1,0.0,0.0,0.8717948717948718
70.0,6.0,1,1,1,0.0,0.0,0.9347826086956522
71.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
71.0,2.0,1,1,1,0.0,0.0,0.8125
71.0,3.0,1,1,1,0.0,0.0,0.0
71.0,4.0,1,1,1,0.0,0.0,0.6666666666666666
71.0,5.0,1,1,1,0.0,0.0,1.0
71.0,6.0,1,1,1,0.0,0.0,0.9782608695652174
72.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
72.0,2.0,1,1,1,0.0,0.0,0.8125
72.0,3.0,1,1,1,0.0,0.0,0.0
72.0,4.0,1,1,1,0.0,0.0,0.6666666666666666
72.0,5.0,1,1,1,0.0,0.0,1.0
72.0,6.0,1,1,1,0.0,0.0,0.9782608695652174
73.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
73.0,2.0,1,1,1,0.0,0.0,0.8125
73.0,3.0,1,1,1,0.0,0.0,0.0
73.0,4.0,1,1,1,0.0,0.0,0.6923076923076923
73.0,5.0,1,1,1,0.0,0.0,1.0
73.0,6.0,1,1,1,0.0,0.0,0.9565217391304348
74.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
74.0,2.0,1,1,1,0.0,0.0,0.6666666666666666
74.0,3.0,1,1,1,0.0,0.0,0.0
74.0,4.0,1,1,1,0.0,0.0,0.6923076923076923
74.0,5.0,1,1,1,0.0,0.0,0.9024390243902439
74.0,6.0,1,1,1,0.0,0.0,1.0
75.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
75.0,2.0,1,1,1,0.0,0.0,0.6666666666666666
75.0,3.0,1,1,1,0.0,0.0,0.0
75.0,4.0,1,1,1,0.0,0.0,0.6923076923076923
75.0,5.0,1,1,1,0.0,0.0,0.9024390243902439
75.0,6.0,1,1,1,0.0,0.0,1.0
76.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
76.0,2.0,1,1,1,0.0,0.0,0.6666666666666666
76.0,3.0,1,1,1,0.0,0.0,0.0
76.0,4.0,1,1,1,0.0,0.0,0.717948717948718
76.0,5.0,1,1,1,0.0,0.0,1.0
76.0,6.0,1,1,1,0.0,0.0,0.8723404255319149
77.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
77.0,2.0,1,1,1,0.0,0.0,0.6666666666666666
77.0,3.0,1,1,1,0.0,0.0,0.0
77.0,4.0,1,1,1,0.0,0.0,0.717948717948718
77.0,5.0,1,1,1,0.0,0.0,0.9512195121951219
77.0,6.0,1,1,1,0.0,0.0,0.9148936170212766
78.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
78.0,2.0,1,1,1,0.0,0.0,0.6666666666666666
78.0,3.0,1,1,1,0.0,0.0,0.0
78.0,4.0,1,1,1,0.0,0.0,0.717948717948718
78.0,5.0,1,1,1,0.0,0.0,0.926829268292683
78.0,6.0,1,1,1,0.0,0.0,0.9361702127659575
79.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
79.0,2.0,1,1,1,0.0,0.0,0.6666666666666666
79.0,3.0,1,1,1,0.0,0.0,0.0
79.0,4.0,1,1,1,0.0,0.0,0.717948717948718
79.0,5.0,1,1,1,0.0,0.0,0.8780487804878049
79.0,6.0,1,1,1,0.0,0.0,1.0
80.0,1.0,1,1,1,0.0,0.0,0.20512820512820512
