last_plan_passed,failures,median_ticks_since_plan,median_plan_proj_end_cash,median_profit_at_failure,median_cash_before_exit
0,11,4.0,-245.3579168553788,-51.95336136875213,-30.71388155794252
1,511,6.0,120.0,-45.54251467073341,-20.116254489633704
