metric,no_offset,with_offset,delta,delta_pct
mean_abs_d_over_mean_sales,0.07144601393223322,0.02363609442380267,-0.047809919508430554,-66.91754637813443
mean_abs_d_over_median_sales,0.0755251050210042,0.02585037555456297,-0.04967472946644122,-65.77247320957215
mean_abs_d_sales,4.531506301260252,7.548309661932387,3.016803360672135,66.57396371341547
mean_rollnorm_abs_d,0.07395580352884874,0.022217024471807987,-0.05173877905704076,-69.95905201254213
mean_sales,63.4256,319.3552,255.92960000000002,403.5115158547968
p95_abs_d_over_mean_sales,0.2207310612749426,0.06888881095407245,-0.15184225032087015,-68.79061308536701
p95_abs_d_sales,14.0,22.0,8.0,57.14285714285714
p95_rollnorm_abs_d,0.23115363724257157,0.0670147774947712,-0.16413885974780038,-71.00855591363843
p99_abs_d_over_mean_sales,0.3310965919124139,0.2536987028863144,-0.07739788902609951,-23.376226429589416
p99_abs_d_sales,21.0,81.01999999999953,60.01999999999953,285.8095238095216
p99_rollnorm_abs_d,0.3624646887770489,0.22010189104923322,-0.14236279772781568,-39.27632184203815
sales_cv,0.32580170554579085,0.3710157482216266,0.04521404267583573,13.87777961447196
