miss_bin,miss_cash,miss_totalcost_units,ticks_since_plan,revenue_this_tick_share_plan_cost,wages_this_tick_share_plan_cost,commercial_rent_this_tick_share_plan_cost,capital_rental_this_tick_share_plan_cost,process_rental_this_tick_share_plan_cost,input_cost_this_tick_share_plan_cost,n_failures
B1,-848.0195191922502,-0.3500354155887973,14.0,0.0,0.03770010150960261,0.006625783774857347,0.0006730580331046102,0.0014461635316917135,0.02555401418577526,27
B2,-226.03640254330858,-0.10079154146515007,10.0,0.025721169546829424,0.03327430885807271,0.007598530264195312,0.0004163179417611599,0.0009331664411434402,0.028050577583882724,27
B3,-203.02429277155827,-0.04031877072603003,10.0,0.036926164446700195,0.033624840921399286,0.006508273263562211,0.00029382598058553324,0.0007051823534052798,0.020911426487952574,27
B4,-169.1274850039714,-0.02049290972776831,12.0,0.03534724363202019,0.03373747884406165,0.004415011037527594,0.00015734163004616958,0.00036652167681412923,0.02184835635679579,27
B5,-28.63210995326561,-0.007886862301700236,9.0,0.03571397576274328,0.0343988791822971,0.00576951775576333,0.00023876807334878415,0.00039241314325873505,0.02323150404132293,27
