fallback_reason,cheaper,costlier,n,cheaper_share,costlier_share
scheduled_review,506,179,685,0.7386861313868613,0.2613138686131387
preferred_inactive,173,499,672,0.25744047619047616,0.7425595238095238
preferred_stockout,45,329,374,0.12032085561497326,0.8796791443850267
preferred_over_budget,117,34,151,0.7748344370860927,0.2251655629139073
preferred_price_jump,37,35,72,0.5138888888888888,0.4861111111111111
