cohort,n,cheaper,costlier,equal,cheaper_share,costlier_share,switch_events_total,unique_failed_firms
all_negative_cash_failures,1954,878,1076,0,0.44933469805527126,0.5506653019447287,1954,87
near_zero_revenue_failures,73,55,18,0,0.7534246575342466,0.2465753424657534,73,6
severe_miss_failures,48,24,24,0,0.5,0.5,48,1
