miss_bin,cost_pressure_share,revenue_support_share,net_pressure_share,n_failures
B1,0.06912117974378143,0.0,0.06225854428127492,27
B2,0.06598349230034288,0.025721169546829424,0.045725469024807695,27
B3,0.07120162924356903,0.036926164446700195,0.04032258833566592,27
B4,0.0643931597833765,0.03534724363202019,0.03150529061376154,27
B5,0.0700352605126579,0.03571397576274328,0.030592938330019484,27
