from_tick,to_tick,d_population,d_employment_rate,d_active_firms,d_realized_sales,d_unsold_output,d_mean_goods_price,d_mean_commercial_rent
500,1500,-43.0,0.13757417860761323,0.0,-6.0,20.0,-0.08745420021501937,1.9774274233910907
1500,2000,30.0,-0.18367346938775508,2.0,-7.0,-26.0,0.8602363742005772,-2.6863465909707998
500,2000,-13.0,-0.046099290780141855,2.0,-13.0,-6.0,0.7727821739855578,-0.7089191675797091
