tick,d_population,d_employed,d_unemployed,d_housed,d_unhoused,d_residential_units,d_vacant_residential_units,d_commercial_units,d_vacant_commercial_units,d_active_firms,d_firm_job_vacancies,d_firms_with_job_vacancies,d_committed_output,d_realized_sales,d_unsold_output,d_sold_out_firms,d_mean_wage,d_mean_residential_rent,d_mean_commercial_rent,d_mean_goods_price
2694.0,0.0,2.0,-2.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,-18.0,24.0,-2.0,-0.008533037948316391,-0.010959101809628002,-0.0001308693789070503,0.10216282921197628
2695.0,1.0,-1.0,2.0,6.0,-5.0,0.0,-6.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0,-0.01206301902524487,-0.004346347694020203,-0.00012643312877469448,0.10457928998211719
2696.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,-4.0,2.0,0.0,0.01496883977316088,-0.0009296690691042997,-0.0001222186911487011,0.06956438182576408
2697.0,0.0,2.0,-2.0,3.0,-3.0,0.0,-3.0,1.0,1.0,1.0,0.0,0.0,4.0,-1.0,5.0,0.0,-0.014263447702278498,0.003354289090509832,0.0,0.05808187877290649
2698.0,-4.0,2.0,-6.0,-2.0,-2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,-3.0,10.0,-1.0,-0.009737106806978701,-0.002202447897966975,0.0001222186911487011,0.18513526181478301
2699.0,-2.0,1.0,-3.0,-5.0,3.0,1.0,6.0,-1.0,-1.0,0.0,0.0,0.0,5.0,-2.0,7.0,-2.0,-0.0010211621043225705,-0.0036000833071929694,0.0,-0.026605942330371946
2700.0,0.0,0.0,0.0,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0027937678165856905,0.0,-0.025506254075678747
2701.0,0.0,0.0,0.0,-5.0,5.0,1.0,6.0,-1.0,-1.0,0.0,0.0,0.0,3.0,-4.0,7.0,2.0,0.0,-0.00872897972179243,0.0,-0.01780409719623499
2702.0,0.0,1.0,-1.0,3.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,-10.0,1.0,-0.0009959482252011043,-0.004234763220672955,0.0,-0.0035939723185327566
2703.0,1.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,-3.0,0.0,0.0009959482252011043,-0.0005466266053062441,0.0,-0.02179661610067729
