tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
25.0,2320.0,1540.0,780.0,1268.0,1052.0,1978.0,710.0,1520.0,1380.0,120.0,620.0,85.0,2094.0,1478.0,616.0,26.0,11.180700708521696,2.555394573085343,1.1852974753311742,4.355467133269539
26.0,2332.0,1577.0,755.0,1290.0,1042.0,1998.0,708.0,1515.0,1375.0,120.0,583.0,82.0,2135.0,1516.0,619.0,32.0,11.24821300980102,2.55236806759335,1.1841734816422844,4.346886464216096
27.0,2344.0,1605.0,739.0,1326.0,1018.0,2017.0,691.0,1513.0,1373.0,120.0,555.0,83.0,2167.0,1573.0,594.0,29.0,11.301962009494817,2.5501068377575744,1.183280285493745,4.328435454776679
28.0,2353.0,1593.0,760.0,1352.0,1001.0,2026.0,674.0,1513.0,1373.0,120.0,567.0,82.0,2205.0,1609.0,596.0,35.0,11.337453221937299,2.5493388122434464,1.1826232330618967,4.299266361118802
29.0,2366.0,1581.0,785.0,1369.0,997.0,2040.0,671.0,1508.0,1366.0,121.0,597.0,86.0,2196.0,1577.0,619.0,30.0,11.41154072098288,2.5484803987633273,1.1823131939920821,4.284898546568686
30.0,2377.0,1579.0,798.0,1383.0,994.0,2052.0,669.0,1503.0,1360.0,122.0,617.0,91.0,2192.0,1589.0,603.0,34.0,11.428737737046003,2.5488905061452876,1.182072314428573,4.265414214352663
31.0,2388.0,1604.0,784.0,1391.0,997.0,2068.0,677.0,1498.0,1355.0,122.0,592.0,84.0,2197.0,1619.0,578.0,38.0,11.541890396324659,2.5482724791791584,1.1817559486399343,4.24701438439981
32.0,2397.0,1590.0,807.0,1387.0,1010.0,2079.0,692.0,1495.0,1352.0,122.0,606.0,86.0,2211.0,1640.0,571.0,41.0,11.609284770507967,2.5460497779939595,1.1811238672428084,4.232381284901082
33.0,2404.0,1642.0,762.0,1410.0,994.0,2096.0,686.0,1488.0,1346.0,121.0,536.0,83.0,2206.0,1661.0,545.0,42.0,11.705251824340868,2.5460297334116473,1.1805429104048728,4.208206655526093
34.0,2416.0,1623.0,793.0,1446.0,970.0,2111.0,665.0,1488.0,1345.0,121.0,555.0,78.0,2253.0,1738.0,515.0,42.0,11.723657004111672,2.547944557315307,1.1797704385587402,4.19696642653679
35.0,2424.0,1619.0,805.0,1459.0,965.0,2120.0,661.0,1487.0,1343.0,121.0,559.0,73.0,2244.0,1716.0,528.0,42.0,11.806575040462125,2.5506728532731664,1.1781630272839083,4.189538167218855
36.0,2438.0,1660.0,778.0,1480.0,958.0,2134.0,654.0,1485.0,1341.0,121.0,518.0,76.0,2241.0,1731.0,510.0,48.0,11.880397369983568,2.5544787701707348,1.1764892459911447,4.180259119096035
37.0,2452.0,1700.0,752.0,1498.0,954.0,2143.0,645.0,1487.0,1340.0,124.0,532.0,77.0,2277.0,1796.0,481.0,47.0,11.942643806814038,2.55962950001043,1.1756854527650862,4.198383125717212
38.0,2464.0,1677.0,787.0,1511.0,953.0,2155.0,644.0,1483.0,1335.0,124.0,555.0,81.0,2324.0,1871.0,453.0,46.0,11.991629833654722,2.563147584504561,1.1745234616256066,4.1702389337232155
39.0,2477.0,1695.0,782.0,1522.0,955.0,2161.0,639.0,1484.0,1333.0,127.0,591.0,79.0,2300.0,1855.0,445.0,49.0,12.044052958144949,2.5676357983859903,1.1734402395996595,4.1850054883851
40.0,2486.0,1732.0,754.0,1546.0,940.0,2170.0,624.0,1483.0,1332.0,127.0,554.0,80.0,2334.0,1873.0,461.0,44.0,12.107312779165955,2.574495073305698,1.1720974306704754,4.190404161653842
