"tick","active_firms","total_revenue","mean_revenue","median_revenue","sd_revenue","cv_revenue","zero_revenue_share","sold_out_share","total_unsold_output","total_profit","loss_firm_share","revenue_gini"
1,150,8183.15157496723,54.5543438331149,55.238202773962,14.2502201320663,0.261211466050415,0,0.153333333333333,924,-18095.5762718554,1,0.145855934444201
2,150,7731.83551664993,51.5455701109995,52.4143906824481,14.8667843070609,0.288420212930934,0,0.146666666666667,931,-17395.5286512076,0.966666666666667,0.163102738032248
3,150,7449.5344297222,49.6635628648147,49.8445792721816,15.2300318840462,0.306664101516493,0,0.126666666666667,980,-17630.7442770302,0.986666666666667,0.174371892787693
4,150,7253.73454141598,48.3582302761065,47.216658121808,15.7682293835632,0.326071266329078,0,0.2,916,-16580.4989996887,0.953333333333333,0.183220791007072
5,150,7190.26227236535,47.935081815769,46.2539201084339,15.6631712190033,0.326757994889886,0,0.186666666666667,885,-16180.2640213899,0.94,0.185114623199164
6,150,6969.45002653303,46.4630001768869,44.7356575016044,15.9050347212332,0.34231613672561,0,0.273333333333333,881,-15440.4100399641,0.933333333333333,0.188392084477462
7,150,6895.7848149718,45.9718987664787,44.9568847700914,14.6241456044977,0.318110541371878,0,0.18,873,-15214.2929669228,0.913333333333333,0.17663308298097
8,150,6894.28993390908,45.9619328927272,45.6587623688296,17.7833372411408,0.386914477305516,0,0.173333333333333,855,-15037.967173544,0.946666666666667,0.214976658880473
9,150,6784.0889620209,45.227259746806,43.6218831169047,16.8961956153795,0.373584331882338,0,0.173333333333333,885,-15056.0405225194,0.94,0.201990645221058
10,150,6813.21885975689,45.421459065046,44.6726007200448,16.7722312003016,0.369257869419889,0,0.18,860,-15013.6113736492,0.946666666666667,0.19430315102293
11,150,6943.42392458596,46.2894928305731,46.1321864035846,19.681475939019,0.425182362897263,0,0.14,810,-14753.8307290547,0.96,0.219483210900174
12,150,6574.65869223802,43.8310579482535,42.16309222519,16.8352165594045,0.384093319839097,0,0.173333333333333,887,-15163.7636599628,0.94,0.197817503259671
