"distance_bin","residential_rent","commercial_rent","occupied_residential","occupied_commercial","residential_vacancy_rate","commercial_vacancy_rate","n_lots"
0,20.1040714480938,8.0251006769049,5.75,5.4,0.239282592407592,0.0208630952380952,40
5,21.0746002298016,8.3872398049314,7.08571428571428,5.39285714285714,0.13326696121339,0.0145578231292517,140
10,13.0283440514321,6.67450304055187,5.76569037656904,4.58995815899582,0.26693535427845,0.0583914458391446,240
15,4.85683738498724,4.25868451779305,3.01194029850746,2.44179104477612,0.629749172883502,0.377681828950486,340
20,1.25172783384477,2.00283460074039,0.863888888888891,1.21944444444445,0.870117694805195,0.67375992063492,360
25,1,1.1440683127942,0.0384615384615385,0.273076923076923,0.990064102564103,0.881089743589743,260
30,1,1,0.00625000000000001,0.0374999999999999,0.996875,0.98125,160
35,1,1,0,0.116666666666667,1,0.944444444444444,60
