"distance_bin","residential_rent","commercial_rent","occupied_residential","occupied_commercial","residential_vacancy_rate","commercial_vacancy_rate","n_lots"
0,9.78899132083055,8.54809089962097,32.875,27.525,0.0245785683229502,0.00078125,40
5,6.51286124081901,6.43338343689952,28.0785714285714,27.0857142857143,0.0607185083189916,0.0306172161051543,140
10,3.79523438484221,3.03441623564546,14.9333333333333,19.8416666666667,0.367401925829184,0.2371605134826,240
15,1.35321556475102,1.4373272017171,6.09411764705883,10.0117647058824,0.699933881884083,0.579124881209753,340
20,1.00063447222222,1.03094914574069,0.550000000000002,3.81666666666665,0.903125112677809,0.812762883459498,360
25,1,1,0.0769230769230771,0.265384615384615,0.972628205128205,0.959438104630412,260
30,1,1,0,0,1,1,160
35,1,1,0,0.0166666666666666,1,0.991666666666667,60
