"distance_bin","residential_rent","commercial_rent","occupied_residential","occupied_commercial","residential_vacancy_rate","commercial_vacancy_rate","n_lots"
0,1.08924218647505,1.98211865420426,9.6,6.525,0.616644195334589,0.300504426129426,40
5,1.10865679086805,46.2302936643866,9.18705035971223,6.85611510791367,0.574138719412714,0.244204376758334,140
10,1.09967230254261,1009.59421715009,8.27916666666667,6.75,0.628519389890811,0.243604884698635,240
15,1.06161904455074,57.5650313797989,5.88200589970501,6.32743362831858,0.669421227474418,0.281558322045048,340
20,1.05496847326677,10.225313702908,5.99442896935933,6.57938718662953,0.676309708747507,0.288512806444561,360
25,1.06354936221525,216.776801850752,6.62692307692308,6.57692307692308,0.673006410418914,0.293376960520626,260
30,1.06863665126031,192.027887555264,7.19375,6.7375,0.641874218352709,0.28939292478355,160
35,1.114166300784,11.9496629967073,9.63333333333333,7.91666666666667,0.596137164968687,0.234103026603027,60
